has_secondary_education,has_higher_education,work_experience,master_id,rang_id,docs_verified,guarantee,rating,reviews_count,price_socket,discount,cur_score,album_count,photos_count,no_electric_reviews,few_electric_reviews,has_contract,has_insurance,months_on_profi_ru
1,0,39.0,https://profi.ru/profile/DyachkovNA3/,100.0,1,0,"4,69",26,,,50.748548,0,0,0.0,0.0,0,0,
0,0,,https://profi.ru/profile/DzhurayevPZ/,90.0,1,0,"5,0",11,,,50.56623277777778,4,16,0.0,1.0,0,0,15.0
1,0,5.0,https://profi.ru/profile/EfimovAS25/,118.0,1,0,"5,0",28,,,50.755886,0,0,0.0,1.0,0,0,63.0
1,0,7.0,https://profi.ru/profile/EgorovAA80/,150.0,1,0,"4,27",11,,,50.5535277,0,0,1.0,0.0,0,0,79.0
0,0,5.0,https://profi.ru/profile/EgorovAS58/,142.0,1,0,"5,0",3,,,50.46799014285715,5,0,0.0,0.0,0,0,67.0
1,0,19.0,https://profi.ru/profile/ElaginRA2/,120.0,1,0,0,0,,,50.48919375,0,0,0.0,0.0,0,0,
1,0,7.0,https://profi.ru/profile/ElektrikaNI/,148.0,1,0,0,0,,,50.72624,0,0,0.0,0.0,0,0,
1,0,18.0,https://profi.ru/profile/EsenbaevMB/,102.0,0,24,"4,97",142,,,50.56883545454546,0,44,0.0,0.0,1,0,
1,0,26.0,https://profi.ru/profile/FahrievLD/,110.0,0,12,"4,98",46,,100.0,50.5956796,0,10,0.0,1.0,0,0,
1,0,6.0,https://profi.ru/profile/FahrutdinovDS/,128.0,1,0,"5,0",1,,,50.7573595,0,162,0.0,0.0,0,0,89.0
0,0,6.0,https://profi.ru/profile/FahrutdinovRN/,62.0,1,0,"5,0",1,,,50.7215765,0,0,0.0,0.0,0,0,73.0
0,0,,https://profi.ru/profile/FalaleyevII2/,34.0,1,0,"5,0",4,,,50.91473,0,0,0.0,0.0,0,0,2.0
1,1,10.0,https://profi.ru/profile/FalyakhovLV2/,167.0,1,0,"5,0",8,,,50.67436,0,4,0.0,0.0,0,0,
1,0,12.0,https://profi.ru/profile/FaskhutdinovFS/,50.0,1,0,"5,0",1,,,50.74732,0,3,0.0,0.0,0,0,
1,0,7.0,https://profi.ru/profile/FatkullinAF2/,118.0,1,0,"4,97",646,,,50.573037,0,1,0.0,0.0,0,0,
0,1,12.0,https://profi.ru/profile/FattakhovAR3/,84.0,0,1,"4,78",9,,20.0,50.717633,0,0,1.0,0.0,1,0,9.0
0,1,18.0,https://profi.ru/profile/FattakhovBF/,40.0,1,0,0,0,,,50.812740000000005,0,0,0.0,0.0,0,0,
0,1,12.0,https://profi.ru/profile/FatyhovAZ/,106.0,0,0,"4,25",4,,,50.57937472727272,0,0,0.0,0.0,0,0,
1,0,7.0,https://profi.ru/profile/FatykhovEN/,91.0,1,0,0,0,,5.0,50.7759624,0,0,0.0,0.0,0,0,1.0
1,0,4.0,https://profi.ru/profile/FatykhovRR3/,177.0,1,0,"3,0",1,,,50.622092,0,0,0.0,0.0,0,0,47.0
1,0,7.0,https://profi.ru/profile/FatykhovZZ/,151.0,1,0,0,0,,,50.62516,0,10,0.0,0.0,0,0,4.0
1,0,7.0,https://profi.ru/profile/FayzrakhmanovAR/,162.0,1,0,"5,0",8,,,50.673502,0,9,0.0,0.0,0,0,19.0
1,0,7.0,https://profi.ru/profile/FayzullinAR15/,52.0,1,0,"5,0",1,,,50.7792915,0,0,0.0,0.0,0,0,7.0
1,0,7.0,https://profi.ru/profile/FayzullinRD/,50.0,1,0,0,0,,,50.840065,0,0,0.0,0.0,0,0,6.0
0,1,,https://profi.ru/profile/FayzullinRI2/,138.0,1,0,"5,0",1,,,50.697307333333335,0,0,0.0,0.0,0,0,
0,1,25.0,https://profi.ru/profile/FazylovLZ/,186.0,1,0,0,0,,,50.632015,0,0,0.0,0.0,0,0,
1,0,7.0,https://profi.ru/profile/FedorovII24/,54.0,1,0,"5,0",2,,,50.7781965,0,0,0.0,0.0,0,0,
0,0,,https://profi.ru/profile/FedorovRV39/,57.0,1,0,0,0,,,50.865704666666666,0,0,0.0,0.0,0,0,2.0
1,0,2.0,https://profi.ru/profile/FedorovskiyMV/,141.0,1,0,"5,0",1,,,50.45247475,0,0,0.0,0.0,0,0,25.0
1,0,,https://profi.ru/profile/FidanNF/,125.0,1,0,0,0,,,50.46321014285714,0,1,0.0,0.0,0,0,
1,0,7.0,https://profi.ru/profile/FilippovMZ/,122.0,1,0,0,0,,,50.785259,0,0,0.0,0.0,0,0,6.0
1,0,7.0,https://profi.ru/profile/FokeyevAA5/,135.0,1,0,"5,0",18,350.0,,50.4562495,6,5,1.0,0.0,0,0,18.0
1,0,5.0,https://profi.ru/profile/FomichevDA5/,110.0,1,0,"4,71",95,,,50.776832000000006,0,0,0.0,1.0,0,0,60.0
1,0,,https://profi.ru/profile/FyatkhRT/,142.0,1,0,"5,0",2,,,50.749527666666665,0,0,0.0,0.0,0,0,53.0
0,0,,https://profi.ru/profile/GabdrakhmanovAR8/,89.0,1,0,0,0,500.0,,50.7914766,2,0,0.0,0.0,0,0,
0,1,3.0,https://profi.ru/profile/GabdrakhmanovEI/,65.0,1,0,"5,0",23,,,50.794984,0,1,1.0,0.0,0,0,43.0
1,0,7.0,https://profi.ru/profile/GabdurakhmanovRV/,156.0,1,0,"5,0",2,,,50.73702,0,0,0.0,0.0,0,0,7.0
0,1,,https://profi.ru/profile/GabishevAA2/,141.0,1,0,0,0,,,50.7439356,0,0,0.0,0.0,0,0,
1,0,20.0,https://profi.ru/profile/GabitovRR3/,133.0,1,0,"5,0",6,,,50.5064606,0,1,1.0,0.0,0,0,85.0
0,1,3.0,https://profi.ru/profile/GabsalyamovLI/,54.0,1,0,0,0,,,50.749428,0,0,0.0,0.0,0,0,
1,0,10.0,https://profi.ru/profile/GafarovIE2/,107.0,1,0,"5,0",3,500.0,,50.658007,0,49,0.0,0.0,0,0,
1,0,5.0,https://profi.ru/profile/GaffarovRR4/,155.0,1,0,"5,0",3,,,50.679314,0,7,0.0,0.0,0,0,66.0
0,1,,https://profi.ru/profile/GafiatullinRR/,150.0,1,0,"5,0",13,,,50.68264333333334,6,0,1.0,0.0,0,0,
1,0,24.0,https://profi.ru/profile/GafiyatulinII/,167.0,1,0,0,0,500.0,,50.4369465,0,0,0.0,0.0,0,0,
1,0,7.0,https://profi.ru/profile/GafurovAT12/,87.0,1,0,0,0,250.0,,50.854767,0,0,0.0,0.0,0,0,5.0
1,0,7.0,https://profi.ru/profile/GafurovIT4/,20.0,1,0,0,0,,,50.970493,0,0,0.0,0.0,0,0,3.0
1,0,7.0,https://profi.ru/profile/GainullinDV/,96.0,0,0,"3,0",2,,,50.687958,0,1,0.0,0.0,0,0,87.0
1,0,15.0,https://profi.ru/profile/GaisinRSh/,68.0,1,0,0,0,,,50.7974285,0,0,0.0,0.0,0,0,
0,0,,https://profi.ru/profile/GakhramanovRG/,94.0,1,0,0,0,,,50.7894,0,4,0.0,0.0,0,0,6.0
